,,,,,
,,,,,
,AMZN,,,,
,,,,,
,Date,Close,,Date,Volume
,8/2/2018 16:00:00,1834.33,,8/2/2018 16:00:00,4354681
,8/3/2018 16:00:00,1823.29,,8/3/2018 16:00:00,3460487
,8/6/2018 16:00:00,1847.75,,8/6/2018 16:00:00,3391825
,8/7/2018 16:00:00,1862.48,,8/7/2018 16:00:00,3377473
,8/8/2018 16:00:00,1886.52,,8/8/2018 16:00:00,3963017
,8/9/2018 16:00:00,1898.52,,8/9/2018 16:00:00,4860374
,8/10/2018 16:00:00,1886.3,,8/10/2018 16:00:00,3639927
,8/13/2018 16:00:00,1896.2,,8/13/2018 16:00:00,5531475
,8/14/2018 16:00:00,1919.65,,8/14/2018 16:00:00,3986123
,8/15/2018 16:00:00,1882.62,,8/15/2018 16:00:00,7700682
,8/16/2018 16:00:00,1886.52,,8/16/2018 16:00:00,3957090
,8/17/2018 16:00:00,1882.22,,8/17/2018 16:00:00,4104300
,8/20/2018 16:00:00,1876.71,,8/20/2018 16:00:00,2862016
,8/21/2018 16:00:00,1883.42,,8/21/2018 16:00:00,3105626
,8/22/2018 16:00:00,1904.9,,8/22/2018 16:00:00,3080464
,8/23/2018 16:00:00,1902.9,,8/23/2018 16:00:00,3562997
,8/24/2018 16:00:00,1905.39,,8/24/2018 16:00:00,2800863
,8/27/2018 16:00:00,1927.68,,8/27/2018 16:00:00,3569037
,8/28/2018 16:00:00,1932.82,,8/28/2018 16:00:00,3100727
,8/29/2018 16:00:00,1998.1,,8/29/2018 16:00:00,6531761
,8/30/2018 16:00:00,2002.38,,8/30/2018 16:00:00,7277257
,8/31/2018 16:00:00,2012.71,,8/31/2018 16:00:00,4204378
,9/4/2018 16:00:00,2039.51,,9/4/2018 16:00:00,5721093
,9/5/2018 16:00:00,1994.82,,9/5/2018 16:00:00,8220576
,9/6/2018 16:00:00,1958.31,,9/6/2018 16:00:00,7488680
,9/7/2018 16:00:00,1952.07,,9/7/2018 16:00:00,4892643
,9/10/2018 16:00:00,1939.01,,9/10/2018 16:00:00,4544831
,9/11/2018 16:00:00,1987.15,,9/11/2018 16:00:00,5033645
,9/12/2018 16:00:00,1990,,9/12/2018 16:00:00,4414012
,9/13/2018 16:00:00,1989.87,,9/13/2018 16:00:00,3621511
,9/14/2018 16:00:00,1970.19,,9/14/2018 16:00:00,3642030
,9/17/2018 16:00:00,1908.03,,9/17/2018 16:00:00,7050192
,9/18/2018 16:00:00,1941.05,,9/18/2018 16:00:00,4268706
,9/19/2018 16:00:00,1926.42,,9/19/2018 16:00:00,4056822
,9/20/2018 16:00:00,1944.3,,9/20/2018 16:00:00,3154934
,9/21/2018 16:00:00,1915.01,,9/21/2018 16:00:00,6855898
,9/24/2018 16:00:00,1934.36,,9/24/2018 16:00:00,4213728
,9/25/2018 16:00:00,1974.55,,9/25/2018 16:00:00,4538407
,9/26/2018 16:00:00,1974.85,,9/26/2018 16:00:00,4313459
,9/27/2018 16:00:00,2012.98,,9/27/2018 16:00:00,4329391
,9/28/2018 16:00:00,2003,,9/28/2018 16:00:00,4085135
,10/1/2018 16:00:00,2004.36,,10/1/2018 16:00:00,3468285
,10/2/2018 16:00:00,1971.31,,10/2/2018 16:00:00,5400749
,10/3/2018 16:00:00,1952.76,,10/3/2018 16:00:00,5253131
,10/4/2018 16:00:00,1909.42,,10/4/2018 16:00:00,7256973
,10/5/2018 16:00:00,1889.65,,10/5/2018 16:00:00,6822327
,10/8/2018 16:00:00,1864.42,,10/8/2018 16:00:00,7393199
,10/9/2018 16:00:00,1870.32,,10/9/2018 16:00:00,4772866
,10/10/2018 16:00:00,1755.25,,10/10/2018 16:00:00,10988855
,10/11/2018 16:00:00,1719.36,,10/11/2018 16:00:00,13935872
,10/12/2018 16:00:00,1788.61,,10/12/2018 16:00:00,9444587
,10/15/2018 16:00:00,1760.95,,10/15/2018 16:00:00,6437162
,10/16/2018 16:00:00,1819.96,,10/16/2018 16:00:00,5859918
,10/17/2018 16:00:00,1831.73,,10/17/2018 16:00:00,5295177
,10/18/2018 16:00:00,1770.72,,10/18/2018 16:00:00,5873995
,10/19/2018 16:00:00,1764.03,,10/19/2018 16:00:00,5907246
,10/22/2018 16:00:00,1789.3,,10/22/2018 16:00:00,4500015
,10/23/2018 16:00:00,1768.7,,10/23/2018 16:00:00,6723913
,10/24/2018 16:00:00,1664.2,,10/24/2018 16:00:00,6928383
,10/25/2018 16:00:00,1782.17,,10/25/2018 16:00:00,10285742
,10/26/2018 16:00:00,1642.81,,10/26/2018 16:00:00,14963783
,10/29/2018 16:00:00,1538.88,,10/29/2018 16:00:00,13866077
,10/30/2018 16:00:00,1530.42,,10/30/2018 16:00:00,12460086
,10/31/2018 16:00:00,1598.01,,10/31/2018 16:00:00,9390211
,11/1/2018 16:00:00,1665.53,,11/1/2018 16:00:00,8135539
,11/2/2018 16:00:00,1665.53,,11/2/2018 16:00:00,6955548
,11/5/2018 16:00:00,1627.8,,11/5/2018 16:00:00,5624727
,11/6/2018 16:00:00,1642.81,,11/6/2018 16:00:00,4257353
,11/7/2018 16:00:00,1755.49,,11/7/2018 16:00:00,8192234
,11/8/2018 16:00:00,1754.91,,11/8/2018 16:00:00,6534866
,11/9/2018 16:00:00,1712.43,,11/9/2018 16:00:00,5902186
,11/12/2018 16:00:00,1636.85,,11/12/2018 16:00:00,6806245
,11/13/2018 16:00:00,1631.17,,11/13/2018 16:00:00,5933271
,11/14/2018 16:00:00,1599.01,,11/14/2018 16:00:00,6486891
,11/15/2018 16:00:00,1619.44,,11/15/2018 16:00:00,8427337
,11/16/2018 16:00:00,1593.41,,11/16/2018 16:00:00,6066080
,11/19/2018 16:00:00,1512.29,,11/19/2018 16:00:00,7789981
,11/20/2018 16:00:00,1495.46,,11/20/2018 16:00:00,10878823
,11/21/2018 16:00:00,1516.73,,11/21/2018 16:00:00,5716800
,11/23/2018 13:00:00,1502.06,,11/23/2018 13:00:00,2707642
,11/26/2018 16:00:00,1581.33,,11/26/2018 16:00:00,6257716
,11/27/2018 16:00:00,1581.42,,11/27/2018 16:00:00,5783227
,11/28/2018 16:00:00,1677.75,,11/28/2018 16:00:00,8458738
,11/29/2018 16:00:00,1673.57,,11/29/2018 16:00:00,6613243
,11/30/2018 16:00:00,1690.17,,11/30/2018 16:00:00,5761761
,12/3/2018 16:00:00,1772.36,,12/3/2018 16:00:00,6862160
,12/4/2018 16:00:00,1668.4,,12/4/2018 16:00:00,8694455
,12/6/2018 16:00:00,1699.19,,12/6/2018 16:00:00,8789394
,12/7/2018 16:00:00,1629.13,,12/7/2018 16:00:00,7576132
,12/10/2018 16:00:00,1641.03,,12/10/2018 16:00:00,7494808
,12/11/2018 16:00:00,1643.24,,12/11/2018 16:00:00,6244695
,12/12/2018 16:00:00,1663.54,,12/12/2018 16:00:00,6597968
,12/13/2018 16:00:00,1658.38,,12/13/2018 16:00:00,5271162
,12/14/2018 16:00:00,1591.91,,12/14/2018 16:00:00,6367163
,12/17/2018 16:00:00,1520.91,,12/17/2018 16:00:00,8829762
,12/18/2018 16:00:00,1551.48,,12/18/2018 16:00:00,6522975
,12/19/2018 16:00:00,1495.08,,12/19/2018 16:00:00,8792189
,12/20/2018 16:00:00,1460.83,,12/20/2018 16:00:00,9991833
,12/21/2018 16:00:00,1377.45,,12/21/2018 16:00:00,13640320
,12/24/2018 13:00:00,1343.96,,12/24/2018 13:00:00,7219996
,12/26/2018 16:00:00,1470.9,,12/26/2018 16:00:00,10411801
,12/27/2018 16:00:00,1461.64,,12/27/2018 16:00:00,9722034
,12/28/2018 16:00:00,1478.02,,12/28/2018 16:00:00,8828950
,12/31/2018 16:00:00,1501.97,,12/31/2018 16:00:00,6954507
,1/2/2019 16:00:00,1539.13,,1/2/2019 16:00:00,7983103
,1/3/2019 16:00:00,1500.28,,1/3/2019 16:00:00,6975572
,1/4/2019 16:00:00,1575.39,,1/4/2019 16:00:00,9182575
,1/7/2019 16:00:00,1629.51,,1/7/2019 16:00:00,7993213
,1/8/2019 16:00:00,1656.58,,1/8/2019 16:00:00,8881428
,1/9/2019 16:00:00,1659.42,,1/9/2019 16:00:00,6348801
,1/10/2019 16:00:00,1656.22,,1/10/2019 16:00:00,6507693
,1/11/2019 16:00:00,1640.56,,1/11/2019 16:00:00,4686222
,1/14/2019 16:00:00,1617.21,,1/14/2019 16:00:00,6005888
,1/15/2019 16:00:00,1674.56,,1/15/2019 16:00:00,5998510
,1/16/2019 16:00:00,1683.78,,1/16/2019 16:00:00,6366864
,1/17/2019 16:00:00,1693.22,,1/17/2019 16:00:00,4208875
,1/18/2019 16:00:00,1696.2,,1/18/2019 16:00:00,6020503
,1/22/2019 16:00:00,1632.17,,1/22/2019 16:00:00,6416796
,1/23/2019 16:00:00,1640.02,,1/23/2019 16:00:00,5225212
,1/24/2019 16:00:00,1654.93,,1/24/2019 16:00:00,4089943
,1/25/2019 16:00:00,1670.57,,1/25/2019 16:00:00,4959679
,1/28/2019 16:00:00,1637.89,,1/28/2019 16:00:00,4837711
,1/29/2019 16:00:00,1593.88,,1/29/2019 16:00:00,4632782
,1/30/2019 16:00:00,1670.43,,1/30/2019 16:00:00,5783822
,1/31/2019 16:00:00,1718.73,,1/31/2019 16:00:00,10910338
,2/1/2019 16:00:00,1626.23,,2/1/2019 16:00:00,11506213
,2/4/2019 16:00:00,1633.31,,2/4/2019 16:00:00,4929187
,2/5/2019 16:00:00,1658.81,,2/5/2019 16:00:00,4453105
,2/6/2019 16:00:00,1640.26,,2/6/2019 16:00:00,3939883
,2/7/2019 16:00:00,1614.37,,2/7/2019 16:00:00,4626589
,2/8/2019 16:00:00,1588.22,,2/8/2019 16:00:00,5657457
,2/11/2019 16:00:00,1591,,2/11/2019 16:00:00,3317328
,2/12/2019 16:00:00,1638.01,,2/12/2019 16:00:00,4858604
,2/13/2019 16:00:00,1640,,2/13/2019 16:00:00,3560321
,2/14/2019 16:00:00,1622.65,,2/14/2019 16:00:00,4120524
,2/15/2019 16:00:00,1607.95,,2/15/2019 16:00:00,4343893
,2/19/2019 16:00:00,1627.58,,2/19/2019 16:00:00,3681656
,2/20/2019 16:00:00,1622.1,,2/20/2019 16:00:00,3337589
,2/21/2019 16:00:00,1619.44,,2/21/2019 16:00:00,3483392
,2/22/2019 16:00:00,1631.56,,2/22/2019 16:00:00,3096191
,2/25/2019 16:00:00,1633,,2/25/2019 16:00:00,3184462
,2/26/2019 16:00:00,1636.4,,2/26/2019 16:00:00,2665815
,2/27/2019 16:00:00,1641.09,,2/27/2019 16:00:00,3148824
,2/28/2019 16:00:00,1639.83,,2/28/2019 16:00:00,3025891
,3/1/2019 16:00:00,1671.73,,3/1/2019 16:00:00,4974877
,3/4/2019 16:00:00,1696.17,,3/4/2019 16:00:00,6167358
,3/5/2019 16:00:00,1692.43,,3/5/2019 16:00:00,3681522
,3/6/2019 16:00:00,1668.95,,3/6/2019 16:00:00,3996001
,3/7/2019 16:00:00,1625.95,,3/7/2019 16:00:00,4957017
,3/8/2019 16:00:00,1620.8,,3/8/2019 16:00:00,4667014
,3/11/2019 16:00:00,1670.62,,3/11/2019 16:00:00,3876352
,3/12/2019 16:00:00,1673.1,,3/12/2019 16:00:00,3614498
,3/13/2019 16:00:00,1690.81,,3/13/2019 16:00:00,3552041
,3/14/2019 16:00:00,1686.22,,3/14/2019 16:00:00,2946618
,3/15/2019 16:00:00,1712.36,,3/15/2019 16:00:00,7550870
,3/18/2019 16:00:00,1742.15,,3/18/2019 16:00:00,5429058
,3/19/2019 16:00:00,1761.85,,3/19/2019 16:00:00,6364161
,3/20/2019 16:00:00,1797.27,,3/20/2019 16:00:00,6265633
,3/21/2019 16:00:00,1819.26,,3/21/2019 16:00:00,5767797
,3/22/2019 16:00:00,1764.77,,3/22/2019 16:00:00,6362983
,3/25/2019 16:00:00,1774.26,,3/25/2019 16:00:00,5103803
,3/26/2019 16:00:00,1783.76,,3/26/2019 16:00:00,4865880
,3/27/2019 16:00:00,1765.7,,3/27/2019 16:00:00,4324801
,3/28/2019 16:00:00,1773.42,,3/28/2019 16:00:00,3042958
,3/29/2019 16:00:00,1780.75,,3/29/2019 16:00:00,3320793
,4/1/2019 16:00:00,1814.19,,4/1/2019 16:00:00,4238752
,4/2/2019 16:00:00,1813.98,,4/2/2019 16:00:00,3448115
,4/3/2019 16:00:00,1820.7,,4/3/2019 16:00:00,3980590
,4/4/2019 16:00:00,1818.86,,4/4/2019 16:00:00,3623867
,4/5/2019 16:00:00,1837.28,,4/5/2019 16:00:00,3640476
,4/8/2019 16:00:00,1849.86,,4/8/2019 16:00:00,3752841
,4/9/2019 16:00:00,1835.84,,4/9/2019 16:00:00,3714368
,4/10/2019 16:00:00,1847.33,,4/10/2019 16:00:00,2963973
,4/11/2019 16:00:00,1844.07,,4/11/2019 16:00:00,2654842
,4/12/2019 16:00:00,1843.06,,4/12/2019 16:00:00,3114413
,4/15/2019 16:00:00,1844.87,,4/15/2019 16:00:00,3724423
,4/16/2019 16:00:00,1863.04,,4/16/2019 16:00:00,3044618
,4/17/2019 16:00:00,1864.82,,4/17/2019 16:00:00,2893517
,4/18/2019 16:00:00,1861.69,,4/18/2019 16:00:00,2749882
,4/22/2019 16:00:00,1887.31,,4/22/2019 16:00:00,3373807
,4/23/2019 16:00:00,1923.77,,4/23/2019 16:00:00,4640441
,4/24/2019 16:00:00,1901.75,,4/24/2019 16:00:00,3675781
,4/25/2019 16:00:00,1902.25,,4/25/2019 16:00:00,6099101
,4/26/2019 16:00:00,1950.63,,4/26/2019 16:00:00,8432563
,4/29/2019 16:00:00,1938.43,,4/29/2019 16:00:00,4021255
,4/30/2019 16:00:00,1926.52,,4/30/2019 16:00:00,3506007
,5/1/2019 16:00:00,1911.52,,5/1/2019 16:00:00,3116964
,5/2/2019 16:00:00,1900.82,,5/2/2019 16:00:00,3962915
,5/3/2019 16:00:00,1962.46,,5/3/2019 16:00:00,6381564
,5/6/2019 16:00:00,1950.55,,5/6/2019 16:00:00,5417841
,5/7/2019 16:00:00,1921,,5/7/2019 16:00:00,5902134
,5/8/2019 16:00:00,1917.77,,5/8/2019 16:00:00,4078568
,5/9/2019 16:00:00,1899.87,,5/9/2019 16:00:00,5308263
,5/10/2019 16:00:00,1889.98,,5/10/2019 16:00:00,5717994
,5/13/2019 16:00:00,1822.68,,5/13/2019 16:00:00,5783410
,5/14/2019 16:00:00,1840.12,,5/14/2019 16:00:00,4629107
,5/15/2019 16:00:00,1871.15,,5/15/2019 16:00:00,4692642
,5/16/2019 16:00:00,1907.57,,5/16/2019 16:00:00,4707822
,5/17/2019 16:00:00,1869,,5/17/2019 16:00:00,4736618
,5/20/2019 16:00:00,1858.97,,5/20/2019 16:00:00,3798198
,5/21/2019 16:00:00,1857.52,,5/21/2019 16:00:00,4005122
,5/22/2019 16:00:00,1859.68,,5/22/2019 16:00:00,2936601
,5/23/2019 16:00:00,1815.48,,5/23/2019 16:00:00,4424265
,5/24/2019 16:00:00,1823.28,,5/24/2019 16:00:00,3369673
,5/28/2019 16:00:00,1836.43,,5/28/2019 16:00:00,3199965
,5/29/2019 16:00:00,1819.19,,5/29/2019 16:00:00,4279025
,5/30/2019 16:00:00,1816.32,,5/30/2019 16:00:00,3146850
,5/31/2019 16:00:00,1775.07,,5/31/2019 16:00:00,4618819
,6/3/2019 16:00:00,1692.69,,6/3/2019 16:00:00,9098708
,6/4/2019 16:00:00,1729.56,,6/4/2019 16:00:00,5679121
,6/5/2019 16:00:00,1738.5,,6/5/2019 16:00:00,4239782
,6/6/2019 16:00:00,1754.36,,6/6/2019 16:00:00,3689272
,6/7/2019 16:00:00,1804.03,,6/7/2019 16:00:00,4808246
,6/10/2019 16:00:00,1860.63,,6/10/2019 16:00:00,5371007
,6/11/2019 16:00:00,1863.7,,6/11/2019 16:00:00,4042694
,6/12/2019 16:00:00,1855.32,,6/12/2019 16:00:00,2678335
,6/13/2019 16:00:00,1870.3,,6/13/2019 16:00:00,2795810
,6/14/2019 16:00:00,1869.67,,6/14/2019 16:00:00,2851163
,6/17/2019 16:00:00,1886.03,,6/17/2019 16:00:00,2634342
,6/18/2019 16:00:00,1901.37,,6/18/2019 16:00:00,3895728
,6/19/2019 16:00:00,1908.79,,6/19/2019 16:00:00,2895347
,6/20/2019 16:00:00,1918.19,,6/20/2019 16:00:00,3217153
,6/21/2019 16:00:00,1911.3,,6/21/2019 16:00:00,3933576
,6/24/2019 16:00:00,1913.9,,6/24/2019 16:00:00,2282969
,6/25/2019 16:00:00,1878.27,,6/25/2019 16:00:00,3012347
,6/26/2019 16:00:00,1897.83,,6/26/2019 16:00:00,2441910
,6/27/2019 16:00:00,1904.28,,6/27/2019 16:00:00,2141721
,6/28/2019 16:00:00,1893.63,,6/28/2019 16:00:00,3037358
,7/1/2019 16:00:00,1922.19,,7/1/2019 16:00:00,3203347
,7/2/2019 16:00:00,1934.31,,7/2/2019 16:00:00,2651299
,7/3/2019 13:00:00,1939,,7/3/2019 13:00:00,1690294
,7/5/2019 16:00:00,1942.91,,7/5/2019 16:00:00,2628359
,7/8/2019 16:00:00,1952.32,,7/8/2019 16:00:00,2883371
,7/9/2019 16:00:00,1988.3,,7/9/2019 16:00:00,4345698
,7/10/2019 16:00:00,2017.41,,7/10/2019 16:00:00,4931902
,7/11/2019 16:00:00,2001.07,,7/11/2019 16:00:00,4317766
,7/12/2019 16:00:00,2011,,7/12/2019 16:00:00,2509297
,7/15/2019 16:00:00,2020.99,,7/15/2019 16:00:00,2981343
,7/16/2019 16:00:00,2009.9,,7/16/2019 16:00:00,2618198
,7/17/2019 16:00:00,1992.03,,7/17/2019 16:00:00,2558809
,7/18/2019 16:00:00,1977.9,,7/18/2019 16:00:00,3504252
,7/19/2019 16:00:00,1964.52,,7/19/2019 16:00:00,3185612
,7/22/2019 16:00:00,1985.63,,7/22/2019 16:00:00,2908111
,7/23/2019 16:00:00,1994.49,,7/23/2019 16:00:00,2703480
,7/24/2019 16:00:00,2000.81,,7/24/2019 16:00:00,2631300
,7/25/2019 16:00:00,1973.82,,7/25/2019 16:00:00,4136461
,7/26/2019 16:00:00,1943.05,,7/26/2019 16:00:00,4927143
,7/29/2019 16:00:00,1912.45,,7/29/2019 16:00:00,4493190
,7/30/2019 16:00:00,1898.53,,7/30/2019 16:00:00,2910888
,7/31/2019 16:00:00,1866.78,,7/31/2019 16:00:00,4470727
,8/1/2019 16:00:00,1855.32,,8/1/2019 16:00:00,4713311
,8/2/2019 16:00:00,1823.24,,8/2/2019 16:00:00,4956225
,8/5/2019 16:00:00,1765.13,,8/5/2019 16:00:00,6058212
,8/6/2019 16:00:00,1787.83,,8/6/2019 16:00:00,5070258
,8/7/2019 16:00:00,1793.4,,8/7/2019 16:00:00,4526884
,8/8/2019 16:00:00,1832.89,,8/8/2019 16:00:00,3701242
,8/9/2019 16:00:00,1807.58,,8/9/2019 16:00:00,2879770
,8/12/2019 16:00:00,1784.92,,8/12/2019 16:00:00,2905498
,8/13/2019 16:00:00,1824.34,,8/13/2019 16:00:00,4075021
,8/14/2019 16:00:00,1762.96,,8/14/2019 16:00:00,4893649
,8/15/2019 16:00:00,1776.12,,8/15/2019 16:00:00,3809948
,8/16/2019 16:00:00,1792.57,,8/16/2019 16:00:00,3054240
,8/19/2019 16:00:00,1816.12,,8/19/2019 16:00:00,2820303
,8/20/2019 16:00:00,1801.38,,8/20/2019 16:00:00,1932835
,8/21/2019 16:00:00,1823.54,,8/21/2019 16:00:00,2039231
,8/22/2019 16:00:00,1805.6,,8/22/2019 16:00:00,2658388
,8/23/2019 16:00:00,1749.62,,8/23/2019 16:00:00,5277898
,8/26/2019 16:00:00,1768.87,,8/26/2019 16:00:00,3085320
,8/27/2019 16:00:00,1761.83,,8/27/2019 16:00:00,3027245
,8/28/2019 16:00:00,1764.25,,8/28/2019 16:00:00,2421893
,8/29/2019 16:00:00,1786.4,,8/29/2019 16:00:00,3018012
,8/30/2019 16:00:00,1776.29,,8/30/2019 16:00:00,3064147
,9/3/2019 16:00:00,1789.84,,9/3/2019 16:00:00,3546859
,9/4/2019 16:00:00,1800.62,,9/4/2019 16:00:00,2326228
,9/5/2019 16:00:00,1840.72,,9/5/2019 16:00:00,3325189
,9/6/2019 16:00:00,1833.51,,9/6/2019 16:00:00,2496933
,9/9/2019 16:00:00,1831.35,,9/9/2019 16:00:00,2999515
,9/10/2019 16:00:00,1820.55,,9/10/2019 16:00:00,2613879
,9/11/2019 16:00:00,1822.99,,9/11/2019 16:00:00,2432767
,9/12/2019 16:00:00,1843.55,,9/12/2019 16:00:00,2823505
,9/13/2019 16:00:00,1839.34,,9/13/2019 16:00:00,1971317
,9/16/2019 16:00:00,1807.84,,9/16/2019 16:00:00,3675473
,9/17/2019 16:00:00,1822.55,,9/17/2019 16:00:00,2033058
,9/18/2019 16:00:00,1817.46,,9/18/2019 16:00:00,2536012
,9/19/2019 16:00:00,1821.5,,9/19/2019 16:00:00,2078335
,9/20/2019 16:00:00,1794.16,,9/20/2019 16:00:00,5555839
,9/23/2019 16:00:00,1785.3,,9/23/2019 16:00:00,3139142
,9/24/2019 16:00:00,1741.61,,9/24/2019 16:00:00,4637901
,9/25/2019 16:00:00,1768.33,,9/25/2019 16:00:00,3531098
,9/26/2019 16:00:00,1739.84,,9/26/2019 16:00:00,3571952
,9/27/2019 16:00:00,1725.45,,9/27/2019 16:00:00,3948029
,9/30/2019 16:00:00,1735.91,,9/30/2019 16:00:00,2760768
,10/1/2019 16:00:00,1735.65,,10/1/2019 16:00:00,3170460
,10/2/2019 16:00:00,1713.23,,10/2/2019 16:00:00,3338476
,10/3/2019 16:00:00,1724.42,,10/3/2019 16:00:00,3624371
,10/4/2019 16:00:00,1739.65,,10/4/2019 16:00:00,2489277
,10/7/2019 16:00:00,1732.66,,10/7/2019 16:00:00,2187598
,10/8/2019 16:00:00,1705.51,,10/8/2019 16:00:00,2626840
,10/9/2019 16:00:00,1721.99,,10/9/2019 16:00:00,2089335
,10/10/2019 16:00:00,1720.26,,10/10/2019 16:00:00,2721531
,10/11/2019 16:00:00,1731.92,,10/11/2019 16:00:00,3279534
,10/14/2019 16:00:00,1736.43,,10/14/2019 16:00:00,1928898
,10/15/2019 16:00:00,1767.38,,10/15/2019 16:00:00,3129244
,10/16/2019 16:00:00,1777.43,,10/16/2019 16:00:00,2804068
,10/17/2019 16:00:00,1787.48,,10/17/2019 16:00:00,2713773
,10/18/2019 16:00:00,1757.51,,10/18/2019 16:00:00,3366091
,10/21/2019 16:00:00,1785.66,,10/21/2019 16:00:00,2224902
,10/22/2019 16:00:00,1765.73,,10/22/2019 16:00:00,2234425
,10/23/2019 16:00:00,1762.17,,10/23/2019 16:00:00,2190380
,10/24/2019 16:00:00,1780.78,,10/24/2019 16:00:00,5204350
,10/25/2019 16:00:00,1761.33,,10/25/2019 16:00:00,9626402
,10/28/2019 16:00:00,1777.08,,10/28/2019 16:00:00,3708851
,10/29/2019 16:00:00,1762.71,,10/29/2019 16:00:00,2276855
,10/30/2019 16:00:00,1779.99,,10/30/2019 16:00:00,2449405
,10/31/2019 16:00:00,1776.66,,10/31/2019 16:00:00,2781185
,11/1/2019 16:00:00,1791.44,,11/1/2019 16:00:00,2790354
,11/4/2019 16:00:00,1804.66,,11/4/2019 16:00:00,2771922
,11/5/2019 16:00:00,1801.71,,11/5/2019 16:00:00,1885543
,11/6/2019 16:00:00,1795.77,,11/6/2019 16:00:00,2029783
,11/7/2019 16:00:00,1788.2,,11/7/2019 16:00:00,2651086
,11/8/2019 16:00:00,1785.88,,11/8/2019 16:00:00,2126198
,11/11/2019 16:00:00,1771.65,,11/11/2019 16:00:00,1947810
,11/12/2019 16:00:00,1778,,11/12/2019 16:00:00,2038925
,11/13/2019 16:00:00,1753.11,,11/13/2019 16:00:00,2926892
,11/14/2019 16:00:00,1754.6,,11/14/2019 16:00:00,2269417
,11/15/2019 16:00:00,1739.49,,11/15/2019 16:00:00,3931141
,11/18/2019 16:00:00,1752.53,,11/18/2019 16:00:00,2841907
,11/19/2019 16:00:00,1752.79,,11/19/2019 16:00:00,2274535
,11/20/2019 16:00:00,1745.53,,11/20/2019 16:00:00,2793759
,11/21/2019 16:00:00,1734.71,,11/21/2019 16:00:00,2662938
,11/22/2019 16:00:00,1745.72,,11/22/2019 16:00:00,2479081
,11/25/2019 16:00:00,1773.84,,11/25/2019 16:00:00,3489467
,11/26/2019 16:00:00,1796.94,,11/26/2019 16:00:00,3190428
,11/27/2019 16:00:00,1818.51,,11/27/2019 16:00:00,3035846
,11/29/2019 13:00:00,1800.8,,11/29/2019 13:00:00,1923440
,12/2/2019 16:00:00,1781.6,,12/2/2019 16:00:00,3931750
,12/3/2019 16:00:00,1769.96,,12/3/2019 16:00:00,3529582
,12/4/2019 16:00:00,1760.69,,12/4/2019 16:00:00,2680700
,12/5/2019 16:00:00,1740.48,,12/5/2019 16:00:00,2827852
,12/6/2019 16:00:00,1751.6,,12/6/2019 16:00:00,3119979
,12/9/2019 16:00:00,1749.51,,12/9/2019 16:00:00,2502489
,12/10/2019 16:00:00,1739.21,,12/10/2019 16:00:00,2515644
,12/11/2019 16:00:00,1748.72,,12/11/2019 16:00:00,2101318
,12/12/2019 16:00:00,1760.33,,12/12/2019 16:00:00,3103949
,12/13/2019 16:00:00,1760.94,,12/13/2019 16:00:00,2747909
,12/16/2019 16:00:00,1769.21,,12/16/2019 16:00:00,3149345
,12/17/2019 16:00:00,1790.66,,12/17/2019 16:00:00,3646697
,12/18/2019 16:00:00,1784.03,,12/18/2019 16:00:00,3352187
,12/19/2019 16:00:00,1792.28,,12/19/2019 16:00:00,2738320
,12/20/2019 16:00:00,1786.5,,12/20/2019 16:00:00,5152460
,12/23/2019 16:00:00,1793,,12/23/2019 16:00:00,2137493
,12/24/2019 13:00:00,1789.21,,12/24/2019 13:00:00,881337
,12/26/2019 16:00:00,1868.77,,12/26/2019 16:00:00,6024608
,12/27/2019 16:00:00,1869.8,,12/27/2019 16:00:00,6188754
,12/30/2019 16:00:00,1846.89,,12/30/2019 16:00:00,3677306
,12/31/2019 16:00:00,1847.84,,12/31/2019 16:00:00,2510380
,1/2/2020 16:00:00,1898.01,,1/2/2020 16:00:00,4035910
,1/3/2020 16:00:00,1874.97,,1/3/2020 16:00:00,3766604
,1/6/2020 16:00:00,1902.88,,1/6/2020 16:00:00,4065698
,1/7/2020 16:00:00,1906.86,,1/7/2020 16:00:00,4134010
,1/8/2020 16:00:00,1891.97,,1/8/2020 16:00:00,3511966
,1/9/2020 16:00:00,1901.05,,1/9/2020 16:00:00,3174962
,1/10/2020 16:00:00,1883.16,,1/10/2020 16:00:00,2856959
,1/13/2020 16:00:00,1891.3,,1/13/2020 16:00:00,2785844
,1/14/2020 16:00:00,1869.44,,1/14/2020 16:00:00,3446381
,1/15/2020 16:00:00,1862.02,,1/15/2020 16:00:00,2896592
,1/16/2020 16:00:00,1877.94,,1/16/2020 16:00:00,2659493
,1/17/2020 16:00:00,1864.72,,1/17/2020 16:00:00,3997340
,1/21/2020 16:00:00,1892,,1/21/2020 16:00:00,3707785
,1/22/2020 16:00:00,1887.46,,1/22/2020 16:00:00,3216257
,1/23/2020 16:00:00,1884.58,,1/23/2020 16:00:00,2484613
,1/24/2020 16:00:00,1861.64,,1/24/2020 16:00:00,3766181
,1/27/2020 16:00:00,1828.34,,1/27/2020 16:00:00,3528509
,1/28/2020 16:00:00,1853.25,,1/28/2020 16:00:00,2808040
,1/29/2020 16:00:00,1858,,1/29/2020 16:00:00,2101390
,1/30/2020 16:00:00,1870.68,,1/30/2020 16:00:00,6327438
,1/31/2020 16:00:00,2008.72,,1/31/2020 16:00:00,15567283
