Date,Close,Volume
1/3/2017 16:00,167.19,2934119
1/4/2017 16:00,169.26,3381432
1/5/2017 16:00,168.7,2682181
1/6/2017 16:00,169.53,2945536
1/9/2017 16:00,167.65,3189413
1/10/2017 16:00,165.52,4118194
1/11/2017 16:00,167.75,3599464
1/12/2017 16:00,167.95,2927953
1/13/2017 16:00,167.34,2875319
1/17/2017 16:00,167.89,3315305
1/18/2017 16:00,166.8,4005776
1/19/2017 16:00,166.81,6947882
1/20/2017 16:00,170.55,12607197
1/23/2017 16:00,171.03,5477519
1/24/2017 16:00,175.9,6951386
1/25/2017 16:00,178.29,5922462
1/26/2017 16:00,178.66,3063924
1/27/2017 16:00,177.3,3482110
1/30/2017 16:00,175.8,4093755
1/31/2017 16:00,174.52,4134574
2/1/2017 16:00,174.29,2795445
2/2/2017 16:00,174.58,2620386
2/3/2017 16:00,175.82,3309258
2/6/2017 16:00,175.86,2650535
2/7/2017 16:00,178.46,3873250
2/8/2017 16:00,176.17,2913126
2/9/2017 16:00,177.21,3090710
2/10/2017 16:00,178.68,2930510
2/13/2017 16:00,179.36,3093261
2/14/2017 16:00,180.13,2775858
2/15/2017 16:00,181.68,2914240
2/16/2017 16:00,181.43,3251547
2/17/2017 16:00,180.67,3552305
2/21/2017 16:00,180.26,4480199
2/22/2017 16:00,181.15,3020540
2/23/2017 16:00,181.65,2282526
2/24/2017 16:00,181.35,3299093
2/27/2017 16:00,179.4,3691317
2/28/2017 16:00,179.82,3273420
3/1/2017 16:00,181.95,3005248
3/2/2017 16:00,180.53,2918153
3/3/2017 16:00,180.05,1825013
3/6/2017 16:00,180.47,3203804
3/7/2017 16:00,180.38,2977626
3/8/2017 16:00,179.45,3557396
3/9/2017 16:00,177.18,5443882
3/10/2017 16:00,177.83,3100316
3/13/2017 16:00,176.46,3482189
3/14/2017 16:00,175.72,3147497
3/15/2017 16:00,175.81,3813810
3/16/2017 16:00,177.24,4311838
3/17/2017 16:00,175.65,5920267
3/20/2017 16:00,175.7,2475875
3/21/2017 16:00,173.88,3927541
3/22/2017 16:00,174.78,3450362
3/23/2017 16:00,174.82,3739976
3/24/2017 16:00,173.83,3221672
3/27/2017 16:00,173.77,3259023
3/28/2017 16:00,174.51,3523370
3/29/2017 16:00,173.94,3084865
3/30/2017 16:00,173.86,3168254
3/31/2017 16:00,174.14,2913509
4/3/2017 16:00,174.5,4286498
4/4/2017 16:00,174.52,3108870
4/5/2017 16:00,172.88,6238854
4/6/2017 16:00,172.45,3435363
4/7/2017 16:00,172.14,3588302
4/10/2017 16:00,171.2,3789786
4/11/2017 16:00,170.58,4891871
4/12/2017 16:00,170.66,3276921
4/13/2017 16:00,169.53,3205462
4/17/2017 16:00,171.1,3719605
4/18/2017 16:00,170.05,6305863
4/19/2017 16:00,161.69,19283389
4/20/2017 16:00,162.3,6486809
4/21/2017 16:00,160.38,5606940
4/24/2017 16:00,160.75,5320608
4/25/2017 16:00,160.39,4858329
4/26/2017 16:00,160.06,4327991
4/27/2017 16:00,160.32,4122908
4/28/2017 16:00,160.29,4154109
5/1/2017 16:00,158.84,4934859
5/2/2017 16:00,159.1,3208234
5/3/2017 16:00,158.63,3993292
5/4/2017 16:00,159.05,4280613
5/5/2017 16:00,155.05,12517190
5/8/2017 16:00,153.03,7491055
5/9/2017 16:00,152.11,6851963
5/10/2017 16:00,151.25,4999811
5/11/2017 16:00,150.65,5627962
5/12/2017 16:00,150.37,3715302
5/15/2017 16:00,151.51,4233971
5/16/2017 16:00,153.68,5513690
5/17/2017 16:00,150.93,5189344
5/18/2017 16:00,150.78,3274371
5/19/2017 16:00,151.98,5643263
5/22/2017 16:00,152.64,3302139
5/23/2017 16:00,152.03,2564503
5/24/2017 16:00,152.51,3732399
5/25/2017 16:00,153.2,2582814
5/26/2017 16:00,152.49,2443363
5/30/2017 16:00,151.73,3666032
5/31/2017 16:00,152.63,3543404
6/1/2017 16:00,152.67,2918122
6/2/2017 16:00,152.05,3585701
6/5/2017 16:00,152.41,3975068
6/6/2017 16:00,152.37,3797173
6/7/2017 16:00,150.98,4862960
6/8/2017 16:00,152.1,3708962
6/9/2017 16:00,154.1,4361174
6/12/2017 16:00,155.18,6470545
6/13/2017 16:00,154.25,3523529
6/14/2017 16:00,153.81,3049724
6/15/2017 16:00,154.22,4654197
6/16/2017 16:00,155.38,6741763
6/19/2017 16:00,154.84,4629492
6/20/2017 16:00,154.95,4481805
6/21/2017 16:00,153.79,3959414
6/22/2017 16:00,154.4,2376481
6/23/2017 16:00,154.11,3282201
6/26/2017 16:00,155.23,2153343
6/27/2017 16:00,154.75,2386491
6/28/2017 16:00,155.32,2217329
6/29/2017 16:00,154.13,3262159
6/30/2017 16:00,153.83,3571536
7/3/2017 16:00,155.58,2822651
7/5/2017 16:00,153.67,3564354
7/6/2017 16:00,152.36,2757522
7/7/2017 16:00,152.94,2460060
7/10/2017 16:00,153.42,3206209
7/11/2017 16:00,153.19,3447509
7/12/2017 16:00,153.7,3097850
7/13/2017 16:00,153.63,2476112
7/14/2017 16:00,154.24,3256218
7/17/2017 16:00,153.01,4761245
7/18/2017 16:00,154,7524443
7/19/2017 16:00,147.53,14292355
7/20/2017 16:00,147.66,7211974
7/21/2017 16:00,147.08,6509459
7/24/2017 16:00,145.99,3877310
7/25/2017 16:00,146.19,4208850
7/26/2017 16:00,145.36,3932331
7/27/2017 16:00,145.07,6430508
7/28/2017 16:00,144.29,3054710
7/31/2017 16:00,144.67,4355507
8/1/2017 16:00,145.3,3219325
8/2/2017 16:00,144.45,3539739
8/3/2017 16:00,144.94,3035213
8/4/2017 16:00,145.16,2549397
8/7/2017 16:00,143.47,4617942
8/8/2017 16:00,142.11,3297788
8/9/2017 16:00,141.77,2925706
8/10/2017 16:00,141.84,4525159
8/11/2017 16:00,141.84,3004210
8/14/2017 16:00,142.32,2248107
8/15/2017 16:00,142.07,4681545
8/16/2017 16:00,142.5,3287556
8/17/2017 16:00,140.7,4421762
8/18/2017 16:00,139.7,4152549
8/21/2017 16:00,140.33,3190691
8/22/2017 16:00,141.01,2544346
8/23/2017 16:00,142.14,4048017
8/24/2017 16:00,142.94,3591673
8/25/2017 16:00,143.74,2872893
8/28/2017 16:00,142.51,5133981
8/29/2017 16:00,143.14,3008020
8/30/2017 16:00,142.56,2735966
8/31/2017 16:00,143.03,3656428
9/1/2017 16:00,144.08,3351705
9/5/2017 16:00,143.04,3098700
9/6/2017 16:00,143.82,3271344
9/7/2017 16:00,142.9,4188154
9/8/2017 16:00,142.45,3366144
9/11/2017 16:00,144.86,4613381
9/12/2017 16:00,145.76,5237848
9/13/2017 16:00,145.99,4100980
9/14/2017 16:00,145.54,3756699
9/15/2017 16:00,144.82,7397233
9/18/2017 16:00,144.55,3019514
9/19/2017 16:00,144.39,3464383
9/20/2017 16:00,145.88,5447519
9/21/2017 16:00,145.26,2554596
9/22/2017 16:00,145.13,2792200
