,,,,,
,,IBM,,,
,,,,,
,Date,Close,,Date,Volume
,12/27/2019 16:00:00,135.27,,12/27/2019 16:00:00,2752706
,12/30/2019 16:00:00,132.81,,12/30/2019 16:00:00,4118937
,12/31/2019 16:00:00,134.04,,12/31/2019 16:00:00,3778012
,1/2/2020 16:00:00,135.42,,1/2/2020 16:00:00,3148833
,1/3/2020 16:00:00,134.34,,1/3/2020 16:00:00,2373676
,1/6/2020 16:00:00,134.1,,1/6/2020 16:00:00,2426305
,1/7/2020 16:00:00,134.19,,1/7/2020 16:00:00,3275968
,1/8/2020 16:00:00,135.31,,1/8/2020 16:00:00,4346140
,1/9/2020 16:00:00,136.74,,1/9/2020 16:00:00,3732830
,1/10/2020 16:00:00,136.69,,1/10/2020 16:00:00,3255641
,1/13/2020 16:00:00,136.6,,1/13/2020 16:00:00,3531572
,1/14/2020 16:00:00,135.82,,1/14/2020 16:00:00,3683458
,1/15/2020 16:00:00,136.62,,1/15/2020 16:00:00,4045952
,1/16/2020 16:00:00,137.98,,1/16/2020 16:00:00,4320911
,1/17/2020 16:00:00,138.31,,1/17/2020 16:00:00,5623336
,1/21/2020 16:00:00,139.17,,1/21/2020 16:00:00,7244079
,1/22/2020 16:00:00,143.89,,1/22/2020 16:00:00,16470431
,1/23/2020 16:00:00,142.87,,1/23/2020 16:00:00,5657790
,1/24/2020 16:00:00,140.56,,1/24/2020 16:00:00,5580189
,1/27/2020 16:00:00,138.62,,1/27/2020 16:00:00,4166562
,1/28/2020 16:00:00,139.55,,1/28/2020 16:00:00,3451557
,1/29/2020 16:00:00,137.69,,1/29/2020 16:00:00,3054714
,1/30/2020 16:00:00,136.77,,1/30/2020 16:00:00,5057906
,1/31/2020 16:00:00,143.73,,1/31/2020 16:00:00,18994560
,2/3/2020 16:00:00,146.27,,2/3/2020 16:00:00,8887502
,2/4/2020 16:00:00,149.11,,2/4/2020 16:00:00,5620966
,2/5/2020 16:00:00,156.33,,2/5/2020 16:00:00,14386823
,2/6/2020 16:00:00,156.76,,2/6/2020 16:00:00,8400545
,2/7/2020 16:00:00,153.41,,2/7/2020 16:00:00,6423429
,2/10/2020 16:00:00,154.43,,2/10/2020 16:00:00,5239807
,2/11/2020 16:00:00,153.48,,2/11/2020 16:00:00,3835112
,2/12/2020 16:00:00,155.31,,2/12/2020 16:00:00,4438007
,2/13/2020 16:00:00,154.31,,2/13/2020 16:00:00,3820697
,2/14/2020 16:00:00,150.7,,2/14/2020 16:00:00,6099244
,2/18/2020 16:00:00,151.1,,2/18/2020 16:00:00,3343514
,2/19/2020 16:00:00,150.86,,2/19/2020 16:00:00,2733277
,2/20/2020 16:00:00,151.22,,2/20/2020 16:00:00,2880709
,2/21/2020 16:00:00,149.84,,2/21/2020 16:00:00,3537258
,2/24/2020 16:00:00,146.43,,2/24/2020 16:00:00,5452408
,2/25/2020 16:00:00,141.71,,2/25/2020 16:00:00,6211547
,2/26/2020 16:00:00,139.75,,2/26/2020 16:00:00,5409537
,2/27/2020 16:00:00,133.11,,2/27/2020 16:00:00,8421125
,2/28/2020 16:00:00,130.15,,2/28/2020 16:00:00,13012228
,3/2/2020 16:00:00,134.3,,3/2/2020 16:00:00,8531415
,3/3/2020 16:00:00,128.9,,3/3/2020 16:00:00,7896068
,3/4/2020 16:00:00,134.22,,3/4/2020 16:00:00,4996370
,3/5/2020 16:00:00,129.55,,3/5/2020 16:00:00,5446227
,3/6/2020 16:00:00,127.73,,3/6/2020 16:00:00,8193257
,3/9/2020 16:00:00,117.81,,3/9/2020 16:00:00,10757487
,3/10/2020 16:00:00,124.77,,3/10/2020 16:00:00,11410688
,3/11/2020 16:00:00,117.97,,3/11/2020 16:00:00,8451038
,3/12/2020 16:00:00,102.81,,3/12/2020 16:00:00,12512655
,3/13/2020 16:00:00,107.95,,3/13/2020 16:00:00,12502113
,3/16/2020 16:00:00,99.08,,3/16/2020 16:00:00,10567960
,3/17/2020 16:00:00,106.65,,3/17/2020 16:00:00,9258338
,3/18/2020 16:00:00,103.55,,3/18/2020 16:00:00,8772460
,3/19/2020 16:00:00,100.34,,3/19/2020 16:00:00,8396521
,3/20/2020 16:00:00,95.39,,3/20/2020 16:00:00,10546455
,3/23/2020 16:00:00,94.77,,3/23/2020 16:00:00,9729393
,3/24/2020 16:00:00,105.48,,3/24/2020 16:00:00,7973944
,3/25/2020 16:00:00,105.85,,3/25/2020 16:00:00,8654047
,3/26/2020 16:00:00,112.89,,3/26/2020 16:00:00,7158052
,3/27/2020 16:00:00,108.03,,3/27/2020 16:00:00,6423038
,3/30/2020 16:00:00,112.93,,3/30/2020 16:00:00,5564541
,3/31/2020 16:00:00,110.93,,3/31/2020 16:00:00,6346676
,4/1/2020 16:00:00,105.14,,4/1/2020 16:00:00,6112947
,4/2/2020 16:00:00,110,,4/2/2020 16:00:00,6328674
,4/3/2020 16:00:00,106.34,,4/3/2020 16:00:00,4538750
,4/6/2020 16:00:00,114.82,,4/6/2020 16:00:00,7034193
,4/7/2020 16:00:00,114.94,,4/7/2020 16:00:00,5595329
,4/8/2020 16:00:00,119.29,,4/8/2020 16:00:00,5158641
,4/9/2020 16:00:00,121.5,,4/9/2020 16:00:00,5576815
,4/13/2020 16:00:00,121.15,,4/13/2020 16:00:00,5119713
,4/14/2020 16:00:00,123.91,,4/14/2020 16:00:00,5088660
,4/15/2020 16:00:00,118.69,,4/15/2020 16:00:00,5637341
,4/16/2020 16:00:00,115.73,,4/16/2020 16:00:00,6457556
,4/17/2020 16:00:00,120.12,,4/17/2020 16:00:00,4965992
,4/20/2020 16:00:00,120.41,,4/20/2020 16:00:00,8181736
,4/21/2020 16:00:00,116.76,,4/21/2020 16:00:00,14349032
,4/22/2020 16:00:00,119.31,,4/22/2020 16:00:00,7087869
,4/23/2020 16:00:00,121.35,,4/23/2020 16:00:00,6881615
,4/24/2020 16:00:00,124.72,,4/24/2020 16:00:00,4987346
,4/27/2020 16:00:00,125.92,,4/27/2020 16:00:00,4923806
,4/28/2020 16:00:00,126.27,,4/28/2020 16:00:00,4778144
,4/29/2020 16:00:00,128.69,,4/29/2020 16:00:00,5257579
,4/30/2020 16:00:00,125.56,,4/30/2020 16:00:00,6635783
,5/1/2020 16:00:00,121.87,,5/1/2020 16:00:00,4925535
,5/4/2020 16:00:00,121.68,,5/4/2020 16:00:00,4017877
,5/5/2020 16:00:00,122.58,,5/5/2020 16:00:00,3899416
,5/6/2020 16:00:00,123.17,,5/6/2020 16:00:00,3864589
,5/7/2020 16:00:00,121.23,,5/7/2020 16:00:00,4414328
,5/8/2020 16:00:00,122.99,,5/8/2020 16:00:00,5003939
,5/11/2020 16:00:00,122.59,,5/11/2020 16:00:00,3535276
,5/12/2020 16:00:00,120.26,,5/12/2020 16:00:00,4784457
,5/13/2020 16:00:00,115.73,,5/13/2020 16:00:00,5882813
,5/14/2020 16:00:00,116.95,,5/14/2020 16:00:00,5259373
,5/15/2020 16:00:00,116.98,,5/15/2020 16:00:00,4786330
,5/18/2020 16:00:00,121.56,,5/18/2020 16:00:00,4207593
,5/19/2020 16:00:00,120.29,,5/19/2020 16:00:00,3241117
,5/20/2020 16:00:00,121.38,,5/20/2020 16:00:00,3840858
,5/21/2020 16:00:00,119.12,,5/21/2020 16:00:00,4000863
,5/22/2020 16:00:00,118.39,,5/22/2020 16:00:00,4180771
,5/26/2020 16:00:00,121.76,,5/26/2020 16:00:00,5469282
,5/27/2020 16:00:00,125.54,,5/27/2020 16:00:00,5727496
,5/28/2020 16:00:00,124.53,,5/28/2020 16:00:00,3916377
,5/29/2020 16:00:00,124.9,,5/29/2020 16:00:00,7930467
,6/1/2020 16:00:00,124.89,,6/1/2020 16:00:00,2883294
,6/2/2020 16:00:00,126,,6/2/2020 16:00:00,2978056
,6/3/2020 16:00:00,129.05,,6/3/2020 16:00:00,3917746
,6/4/2020 16:00:00,128.89,,6/4/2020 16:00:00,3864785
,6/5/2020 16:00:00,132.06,,6/5/2020 16:00:00,5892960
,6/8/2020 16:00:00,135.75,,6/8/2020 16:00:00,5370469
,6/9/2020 16:00:00,131.87,,6/9/2020 16:00:00,5393644
,6/10/2020 16:00:00,129.87,,6/10/2020 16:00:00,4734835
,6/11/2020 16:00:00,118.01,,6/11/2020 16:00:00,11763629
,6/12/2020 16:00:00,121.91,,6/12/2020 16:00:00,6220327
,6/15/2020 16:00:00,121.65,,6/15/2020 16:00:00,5151240
,6/16/2020 16:00:00,125.15,,6/16/2020 16:00:00,5609087
,6/17/2020 16:00:00,124.15,,6/17/2020 16:00:00,3156836
,6/18/2020 16:00:00,124.16,,6/18/2020 16:00:00,2865362
,6/19/2020 16:00:00,122.47,,6/19/2020 16:00:00,8092354
,6/22/2020 16:00:00,121.07,,6/22/2020 16:00:00,4773499
,6/23/2020 16:00:00,119.41,,6/23/2020 16:00:00,6632605
,6/24/2020 16:00:00,116.42,,6/24/2020 16:00:00,6750990
,6/25/2020 16:00:00,119.03,,6/25/2020 16:00:00,6130626
,6/26/2020 16:00:00,117.19,,6/26/2020 16:00:00,10750107
,6/29/2020 16:00:00,119.75,,6/29/2020 16:00:00,4159488
,6/30/2020 16:00:00,120.77,,6/30/2020 16:00:00,3919469
,7/1/2020 16:00:00,118.54,,7/1/2020 16:00:00,4655765
,7/2/2020 16:00:00,119.7,,7/2/2020 16:00:00,3746958
,7/6/2020 16:00:00,120.19,,7/6/2020 16:00:00,4045439
,7/7/2020 16:00:00,117.58,,7/7/2020 16:00:00,4278307
,7/8/2020 16:00:00,117.71,,7/8/2020 16:00:00,5192806
,7/9/2020 16:00:00,115.71,,7/9/2020 16:00:00,4762991
,7/10/2020 16:00:00,118.35,,7/10/2020 16:00:00,4285705
,7/13/2020 16:00:00,119.2,,7/13/2020 16:00:00,4650651
,7/14/2020 16:00:00,120.6,,7/14/2020 16:00:00,4534397
,7/15/2020 16:00:00,123,,7/15/2020 16:00:00,4473400
,7/16/2020 16:00:00,124.01,,7/16/2020 16:00:00,4330917
,7/17/2020 16:00:00,125.11,,7/17/2020 16:00:00,3988460
,7/20/2020 16:00:00,126.37,,7/20/2020 16:00:00,9927668
,7/21/2020 16:00:00,126.06,,7/21/2020 16:00:00,15364948
,7/22/2020 16:00:00,128.67,,7/22/2020 16:00:00,8195366
,7/23/2020 16:00:00,127.33,,7/23/2020 16:00:00,4220136
,7/24/2020 16:00:00,125.79,,7/24/2020 16:00:00,3531076
,7/27/2020 16:00:00,126.21,,7/27/2020 16:00:00,3733547
,7/28/2020 16:00:00,124.47,,7/28/2020 16:00:00,4178176
,7/29/2020 16:00:00,125.32,,7/29/2020 16:00:00,2833141
,7/30/2020 16:00:00,122.9,,7/30/2020 16:00:00,3988062
,7/31/2020 16:00:00,122.94,,7/31/2020 16:00:00,5277652
,8/3/2020 16:00:00,124.31,,8/3/2020 16:00:00,3526574
,8/4/2020 16:00:00,125.84,,8/4/2020 16:00:00,3431366
,8/5/2020 16:00:00,125.45,,8/5/2020 16:00:00,3675400
,8/6/2020 16:00:00,126.12,,8/6/2020 16:00:00,3417131
,8/7/2020 16:00:00,124.96,,8/7/2020 16:00:00,3651226
,8/10/2020 16:00:00,127.11,,8/10/2020 16:00:00,3968295
,8/11/2020 16:00:00,126.75,,8/11/2020 16:00:00,5001176
,8/12/2020 16:00:00,126.7,,8/12/2020 16:00:00,3530177
,8/13/2020 16:00:00,125.03,,8/13/2020 16:00:00,3171258
,8/14/2020 16:00:00,125.27,,8/14/2020 16:00:00,2963753
,8/17/2020 16:00:00,124.44,,8/17/2020 16:00:00,3360064
,8/18/2020 16:00:00,124.92,,8/18/2020 16:00:00,2882355
,8/19/2020 16:00:00,123.84,,8/19/2020 16:00:00,3743949
,8/20/2020 16:00:00,123.15,,8/20/2020 16:00:00,2561164
,8/21/2020 16:00:00,123.16,,8/21/2020 16:00:00,3385051
,8/24/2020 16:00:00,125.68,,8/24/2020 16:00:00,4070816
,8/25/2020 16:00:00,124.64,,8/25/2020 16:00:00,2977697
,8/26/2020 16:00:00,124.17,,8/26/2020 16:00:00,3388687
,8/27/2020 16:00:00,124.65,,8/27/2020 16:00:00,3422654
,8/28/2020 16:00:00,125.07,,8/28/2020 16:00:00,3099940
,8/31/2020 16:00:00,123.31,,8/31/2020 16:00:00,4827879
,9/1/2020 16:00:00,123.4,,9/1/2020 16:00:00,3155623
,9/2/2020 16:00:00,128.18,,9/2/2020 16:00:00,6592430
,9/3/2020 16:00:00,124.45,,9/3/2020 16:00:00,5716750
,9/4/2020 16:00:00,122.3,,9/4/2020 16:00:00,6018238
,9/8/2020 16:00:00,121.21,,9/8/2020 16:00:00,5210292
,9/9/2020 16:00:00,122.26,,9/9/2020 16:00:00,3770678
,9/10/2020 16:00:00,120.56,,9/10/2020 16:00:00,3978805
,9/11/2020 16:00:00,121.46,,9/11/2020 16:00:00,3548091
,9/14/2020 16:00:00,122.09,,9/14/2020 16:00:00,3641887
,9/15/2020 16:00:00,122.44,,9/15/2020 16:00:00,2915221
,9/16/2020 16:00:00,124.22,,9/16/2020 16:00:00,3789458
,9/17/2020 16:00:00,124.92,,9/17/2020 16:00:00,3171262
,9/18/2020 16:00:00,122.76,,9/18/2020 16:00:00,5391570
,9/21/2020 16:00:00,120.25,,9/21/2020 16:00:00,5311441
,9/22/2020 16:00:00,120.51,,9/22/2020 16:00:00,2957809
,9/23/2020 16:00:00,118.83,,9/23/2020 16:00:00,3939398
,9/24/2020 16:00:00,118.09,,9/24/2020 16:00:00,3546160
,9/25/2020 16:00:00,118.95,,9/25/2020 16:00:00,2953686
,9/28/2020 16:00:00,121.73,,9/28/2020 16:00:00,3509576
,9/29/2020 16:00:00,120.94,,9/29/2020 16:00:00,2130564
,9/30/2020 16:00:00,121.67,,9/30/2020 16:00:00,3261235
,10/1/2020 16:00:00,121.09,,10/1/2020 16:00:00,3211661
,10/2/2020 16:00:00,120.57,,10/2/2020 16:00:00,2925228
,10/5/2020 16:00:00,122.01,,10/5/2020 16:00:00,3050949
,10/6/2020 16:00:00,121.97,,10/6/2020 16:00:00,3872265
,10/7/2020 16:00:00,124.07,,10/7/2020 16:00:00,2815663
,10/8/2020 16:00:00,131.49,,10/8/2020 16:00:00,25288926
,10/9/2020 16:00:00,127.79,,10/9/2020 16:00:00,8353704
,10/12/2020 16:00:00,127.21,,10/12/2020 16:00:00,4635115
,10/13/2020 16:00:00,125.1,,10/13/2020 16:00:00,5406088
,10/14/2020 16:00:00,125.94,,10/14/2020 16:00:00,3730139
,10/15/2020 16:00:00,124.89,,10/15/2020 16:00:00,3389301
,10/16/2020 16:00:00,125.93,,10/16/2020 16:00:00,4714320
,10/19/2020 16:00:00,125.52,,10/19/2020 16:00:00,7478735
,10/20/2020 16:00:00,117.37,,10/20/2020 16:00:00,21501073
,10/21/2020 16:00:00,115.06,,10/21/2020 16:00:00,9755308
,10/22/2020 16:00:00,115.76,,10/22/2020 16:00:00,7858158
,10/23/2020 16:00:00,116,,10/23/2020 16:00:00,3893362
,10/26/2020 16:00:00,112.22,,10/26/2020 16:00:00,7203366
,10/27/2020 16:00:00,110.56,,10/27/2020 16:00:00,5936106
,10/28/2020 16:00:00,106.65,,10/28/2020 16:00:00,9427321
,10/29/2020 16:00:00,108.91,,10/29/2020 16:00:00,6760241
,10/30/2020 16:00:00,111.66,,10/30/2020 16:00:00,7923882
,11/2/2020 16:00:00,112.91,,11/2/2020 16:00:00,5311497
,11/3/2020 16:00:00,114.16,,11/3/2020 16:00:00,4204287
,11/4/2020 16:00:00,111.9,,11/4/2020 16:00:00,5800071
,11/5/2020 16:00:00,114.77,,11/5/2020 16:00:00,4902206
,11/6/2020 16:00:00,114.04,,11/6/2020 16:00:00,5249171
,11/9/2020 16:00:00,115.53,,11/9/2020 16:00:00,8992152
,11/10/2020 16:00:00,117.91,,11/10/2020 16:00:00,5622756
